   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.65453,             0.54949,             0.55689,              0.2903,             0.06704,            0.074915,            0.013638,             0.00919,             0.01051,             0.97511,             0.00047,              3.0541,             0.93167,             0.08391,               0.054,             0.48639,             0.95024,             0.93876,             0.98671,                 0.2,              3.9756,                   0,             0.01237,             0.67524,             0.34193,                   0,             0.12594,             0.49177,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0194
             0.63431,             0.51949,             0.51968,             0.24311,             0.06761,            0.049015,            0.016716,             0.01354,             0.01123,             0.96653,             0.00053,              2.8301,                0.95,             0.08272,             0.05227,             0.57438,             0.72481,             0.74208,             0.98399,                 0.2,              3.7184,                   0,             0.01323,             0.65228,             0.32414,                   0,             0.10611,             0.53001,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              5.1231
             0.66437,             0.54687,             0.54831,             0.28067,            0.062688,            0.074011,            0.014417,             0.00987,             0.01139,                0.98,             0.00052,              2.7889,                0.95,             0.09595,             0.05227,             0.54602,             0.87465,             0.97727,             0.98399,                 0.2,               3.828,                   0,             0.01331,             0.75558,             0.34546,                   0,             0.10824,             0.49177,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8617
              0.6878,             0.49727,             0.55423,             0.29367,            0.068894,            0.066285,            0.013906,             0.01033,             0.01067,                0.98,             0.00049,              2.8959,             0.89346,             0.09164,              0.0545,             0.51597,             0.96917,               0.933,             0.94881,                 0.2,              3.5279,                   0,             0.01359,             0.71471,             0.37183,                   0,             0.10924,              0.4897,                   0,                   0,                   0,                 0.5,             0.96238,                   0,                   0,              3.1264
             0.69748,             0.49467,             0.52168,             0.28805,             0.08017,            0.097236,            0.019597,              0.0047,                0.01,             0.81925,              0.0005,              4.4627,                0.95,             0.09889,             0.05433,             0.62672,             0.95881,             0.87597,              1.7734,                 0.2,              4.2393,                   0,             0.02005,             0.68988,             0.20475,                   0,             0.10786,             0.54821,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
             0.64988,               0.518,             0.53277,             0.28232,            0.068994,            0.079687,            0.019833,             0.00935,                0.01,             0.89164,             0.00059,              3.8909,             0.77659,             0.10156,             0.05092,              0.5788,              1.3662,             0.79053,              1.5874,                 0.2,              3.7677,                   0,             0.01255,             0.73853,              0.2763,                   0,             0.13134,             0.62035,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
             0.68471,             0.51139,             0.54006,             0.29162,            0.066922,             0.10719,            0.017522,             0.00935,                0.01,             0.90988,             0.00053,              3.8909,                0.95,              0.1043,             0.05092,                 0.5,              1.4206,             0.86797,              1.7734,                 0.2,              4.1572,                   0,              0.0147,             0.65094,             0.37236,                   0,             0.11129,             0.54821,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4638
             0.61353,             0.53867,             0.52692,             0.26528,            0.060953,             0.08145,            0.016136,             0.00935,             0.01042,                0.98,             0.00049,              3.8909,                0.95,             0.11504,             0.04588,             0.45542,              1.0183,             0.80526,              1.5336,                 0.2,              4.1411,                   0,             0.01346,             0.57377,             0.35281,                   0,             0.10512,             0.54821,                   0,                   0,                   0,                 0.5,             0.94355,                   0,                   0,              3.6965
             0.64511,             0.49989,              0.5186,             0.24984,            0.060054,             0.09611,            0.014535,              0.0101,                0.01,             0.93997,             0.00052,              4.0873,                0.95,             0.08192,              0.0477,                 0.5,             0.77715,              1.0286,              1.7734,                 0.2,                3.27,                   0,             0.01676,             0.82847,             0.38291,                   0,             0.10786,             0.54821,                   0,                   0,                   0,                 0.5,             0.71962,                   0,                   0,              5.7034
             0.66233,             0.49441,             0.52902,             0.26127,            0.058781,            0.091804,            0.010947,             0.00718,             0.01133,                0.98,             0.00052,              4.2883,                0.95,             0.08768,             0.04437,             0.40353,                1.04,             0.87597,              1.4621,                 0.2,               4.021,                   0,             0.01292,             0.67475,             0.40232,                   0,             0.10786,             0.55401,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
