               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   2,            0.092719,            0.048074,           0.0092096,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026307,           0.0026307,            0.070816
                   3,            0.078783,            0.047514,           0.0080941,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030969,           0.0030969,            0.058694
                   4,            0.065704,            0.049821,             0.00749,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033408,           0.0033408,             0.04635
                   5,            0.052099,            0.055043,            0.007044,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033621,           0.0033621,            0.033783
                   6,            0.044392,            0.054783,           0.0063317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003161,            0.003161,            0.020994
                   7,            0.038512,            0.054364,           0.0060518,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027375,           0.0027375,           0.0079825
                   8,            0.035058,            0.053273,           0.0056604,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019547,           0.0019547,           0.0019547
                   9,            0.032849,            0.053667,           0.0057573,             0.66876,             0.52759,              0.5397,             0.29548,            0.068545,            0.051371,            0.014388,           0.0019547,           0.0019547,           0.0019547
                   0,             0.11538,            0.085072,           0.0098464,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012331,           0.0012331,            0.090189
                   1,               0.101,            0.062426,           0.0065502,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002323,            0.002323,            0.079285
                   2,            0.081607,            0.063869,           0.0055142,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031466,           0.0031466,            0.068114
                   3,            0.062079,            0.069462,           0.0056437,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037039,           0.0037039,            0.056677
                   4,             0.04321,            0.073856,           0.0047592,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039948,           0.0039948,            0.044974
                   5,            0.040348,            0.072924,           0.0039774,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040193,           0.0040193,            0.033005
                   6,            0.037717,            0.070627,           0.0036894,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037775,           0.0037775,            0.020769
                   7,            0.033437,            0.068742,           0.0035705,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032694,           0.0032694,           0.0082669
                   8,            0.030007,            0.069051,           0.0034214,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023317,           0.0023317,           0.0023317
                   9,            0.028243,            0.067411,           0.0032577,             0.70133,              0.5225,             0.55279,             0.29402,            0.062183,            0.072048,           0.0070157,           0.0023317,           0.0023317,           0.0023317
                   0,             0.11407,             0.10044,            0.015368,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010923,           0.0010923,            0.087182
                   1,             0.10656,             0.07244,            0.011455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020578,           0.0020578,             0.07654
                   2,            0.094105,            0.065085,           0.0083188,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027874,           0.0027874,            0.065662
                   3,             0.07975,            0.067105,           0.0073931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003281,            0.003281,            0.054548
                   4,            0.066905,            0.067684,           0.0067866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035387,           0.0035387,            0.043198
                   5,            0.051408,            0.073678,           0.0062117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035604,           0.0035604,            0.031612
                   6,            0.043624,            0.075547,           0.0051072,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033462,           0.0033462,             0.01979
